sampleid	FTG1	FTG10	FTG2	FTG3	FTG4	FTG5	FTG6	FTG7	FTG8	FTG9	FWT1	FWT2	FWT3	FWT4	FWT5	FWT6	FWT7	FWT8	FWT9
Acinetobacter	0	0.000902277	0	0	7.52E-05	0	0.000113514	0	0	0.000175485	0	0	0	0	0	0	0	0	0
Akkermansia	0.000281532	0	0.000251838	0.000822336	0.000526395	0.002462256	0.00936489	0.002410909	0.003210126	0.00772133	0.000455789	0.000719195	0	0	0	0	0	0.000206214	0.00072812
Alistipes	0.051144895	0.216893393	0.004583459	0.016916631	0.041735599	0.012926845	0.009932459	0.013486024	0.031000642	0.022374309	0.079307201	0.027009749	0.050026422	0.128566052	0.108704245	0.189760233	0.041591968	0.014366236	0.059050532
Anaeroplasma	9.38E-05	0.001596335	0.000125919	7.83E-05	0	0	0	0	0.000458589	0.000175485	0	0.000799105	0	0.003838916	0.006245553	0.000728573	0	0	0
Aquabacterium	0	0	7.56E-05	0.000195794	0.000526395	0.00119873	0	0.000113011	0	0.000263227	0	0.000239732	0	0.000150546	0	0.000132468	0.000179276	0	0.000145624
Arsenophonus	0.000469219	0.000763465	0.000201471	0.000234953	0.000300797	0.000453574	0.000340541	0.000188352	0.000458589	0.000526454	0.000455789	0.000559374	0.000264224	0.000903274	0.000316231	0.000463638	0.000298793	0.000274952	0.000582496
Bacillus	0	0	0	0	0	0	0	0.001770512	0.000917179	0	0	0	0	0	0	0.00033117	0	0	0
Bacteroides	0	0	0	0.000274112	0.000150399	0	0	0	0.000183436	0	0	0	0	0	0	0	0	0	0
Bifidobacterium	0.000375375	0	0	0	7.52E-05	0.000388777	0.00073784	0.000866421	0.002109511	0.004650347	0.000569736	0.003276331	0.00066056	0	0	0.000728573	0.000478069	0	0.000218436
Chryseobacterium	0	0	0	0	0	0.000809953	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridia_UCG-014	0	0.000347029	0	0	0	0	0	0	9.17E-05	0	0.001253418	0.000159821	0.000176149	0.002333459	0.000316231	0	0	0	0.000145624
Clostridia_vadinBB60_group	0.000281532	0	0	0	0.000150399	0	0	0	0	0	0	0	0	0	0.000474346	0	0	0	0
Clostridium_sensu_stricto_1	0	0	0	0	0	0	0	0.000301364	0.000275154	0.000614197	0	0	0	0	0	0	0	0	0
Colidextribacter	0	0	0.000201471	0	7.52E-05	0	0	0.000150682	0	0.000263227	0	0.000159821	0.000220187	0.000376364	0.000316231	0.000132468	0	0	0
Coriobacteriaceae_UCG-002	0.000469219	0	0.000428125	0.000509065	0	0	0	0	0	0	0.000227894	0.001198658	0	0	0	0	0	0	0
Corynebacterium	0	0	0	0	0.00105279	0.000453574	0.000397298	0	0	0	0	0	0	0	0	0	0	0	0
Curtobacterium	0	0	0	0	0	0.000388777	0	0	0.000183436	0	0.001025524	0.000958926	0.000616523	0	0	0	0.000119517	0	0
Desulfovibrio	0.001595345	0	0.000251838	0.000587383	0.000526395	0.000259185	0	0.000263693	0.000825461	0.000701939	0	0.0015183	0	0.000677456	0.002371729	0	0.003047687	0.001168546	0.025775448
Dubosiella	0	0	0.000201471	0.000195794	0	0.002721441	0.002667575	0.017968809	0.006236816	0.013512328	0.000341841	0.001198658	0	0	0	0	0	0	0
Enterobacter	0	0	0	0	0	0	0	0	0	0	0.002734731	0.003516062	0.001937643	0.005871283	0.003162305	0.002781825	0	0	0
Enterococcus	0	0.007218212	0	7.83E-05	0.000150399	0.000194389	0.000227028	0	0.000275154	0.001754848	0	0	0	0.000150546	0.000711519	0	0.000239034	0	0
Erysipelatoclostridiaceae	0	0	0	0	0	0	0	0	0	0.000614197	0.000227894	0.000159821	0.001629382	0	0	0	0	0	0
Erysipelatoclostridium	0.00121997	0	0.001284376	0.000978972	0.00624154	0.001587507	0.003518928	0.001469148	0.007429148	0.001316136	0.002164995	0.000399553	0.000264224	0.000150546	0.000158115	0	0.001374447	0.000274952	0.00072812
Erysipelotrichaceae	0	0.000694059	0	0.000274112	0	0	0	0	0	0	0	0	0.000176149	0.001656003	0.000395288	0.000794807	0.00041831	0.000137476	0
Escherichia-Shigella	0.002158408	0.005205441	0.001536214	0.001918785	0.001503986	0.00291583	0.002497304	0.000489716	0.001008897	0.002018075	0.00079763	0.000399553	0	0.001656003	0.002529844	0.002848059	0.002330584	0.002268353	0.002402796
Eubacterium_xylanophilum_group	0	0	0	0	0	0	0	0	0	0	0.000911577	0	0	0	0	0	0	0	0.002621232
Facklamia	0	0	0	0	0.000300797	0.000259185	0.000170271	0	0	0	0	0	0	0	0	0	0	0	0
Faecalibaculum	0.011918168	0.000902277	0.007454417	0.009868035	0.000300797	0.013736798	0.007491912	0.001921193	0.00174264	0.002456787	0.010938924	0.042192744	0	0	0.000237173	0	0	0	0.000145624
