sampleid	FTG1	FTG10	FTG2	FTG3	FTG4	FTG5	FTG6	FTG7	FTG8	FTG9	FWT1	FWT2	FWT3	FWT4	FWT5	FWT6	FWT7	FWT8	FWT9
L-Thyronine	2.047465752	1.128607444	1.541643102	1.217416181	0.941477434	0.906387803	0.783322729	1.517553984	1.930239829	1.323817812	1.268315089	1.846129592	1.323290872	1.361072823	0.785225068	1.030873963	1.336626295	1.419570427	1.417820997
N-Acetylserotonin (N-Acetyl-5-hydroxytryptamine)	0.000577756	0.000828827	0.000860009	0.000913371	0.003030551	0.000964772	0.000846461	0.000883119	0.001046567	0.002813715	0.00111355	0.000445772	0.000665477	0.000846608	0.000698334	0.000761486	0.00194857	0.001066997	0.000545066
N-acetyltryptophan	1.18E-05	6.90E-06	4.15E-06	3.85E-06	3.79E-06	7.12E-06	2.68E-06	1.84E-05	6.14E-06	2.18E-05	1.57E-06	9.14E-06	1.20E-05	4.25E-06	4.09E-06	3.67E-06	3.94E-06	1.81E-06	4.92E-06
2-Hydroxy-2-methylbutyric acid	1.78E-05	8.16E-06	3.97E-05	1.29E-05	8.87E-06	7.63E-06	6.40E-06	2.48E-05	3.18E-05	4.22E-05	1.82E-05	3.09E-05	2.28E-05	1.80E-05	8.99E-06	2.59E-05	1.51E-05	1.41E-05	2.03E-05
N-Acetyl-L-tyrosine	0.000120937	0.000176532	0.000152023	0.000146379	0.000179954	0.000148771	0.000166671	0.000295655	0.000327303	0.000469758	0.000159742	0.000226056	0.000217332	0.000209313	0.000196828	0.000149479	9.21E-05	0.000155195	0.000108238
Spermidine	0.001144811	0.001302724	0.000794131	0.003261001	0.001792927	0.001776998	0.00197984	0.00174935	0.001847529	0.002157689	0.000258671	0.000449077	0.000412506	0.001727932	0.000645736	0.000761578	0.000737584	0.000795305	0.000797343
3-Hydroxybenzoic acid	0.002207178	0.003412822	0.002716654	0.003270036	0.003201244	0.002043211	0.001950365	0.004648039	0.007578278	0.008604869	0.001004166	0.003885299	0.003373179	0.002145279	0.002313353	0.00171208	0.003505045	0.00451963	0.001829393
Benzoic acid	6.71E-05	7.44E-05	7.06E-05	6.49E-05	7.91E-05	5.39E-05	5.88E-05	0.000100638	0.000120982	0.00011975	4.26E-05	5.58E-05	8.54E-05	0.000101651	5.62E-05	6.66E-05	6.51E-05	6.16E-05	9.51E-05
Hippuric acid	0.000329733	0.000924985	0.000764664	0.002108209	0.000821382	0.000255493	0.000189682	0.001070943	0.00405142	0.002006246	0.000145512	0.000197857	0.000141344	0.002103745	0.027412119	0.001047439	0.000152087	0.004965172	0.055101161
Homovanillic acid	0.001758537	0.001067988	0.00270103	0.002683539	0.003292303	0.001544123	0.001236744	0.002468933	0.005187866	0.005590626	0.00170178	0.002772596	0.002496234	0.002820681	0.002215493	0.001790858	0.000744969	0.002344265	0.000919303
p-Hydroxymandelic acid	5.37E-06	3.34E-06	6.14E-06	4.02E-06	5.52E-06	3.93E-06	4.42E-06	4.01E-06	8.13E-06	7.85E-06	2.15E-06	5.37E-06	4.45E-06	6.86E-06	4.64E-06	6.76E-06	2.59E-06	5.37E-06	3.65E-06
Phenyllactic acid	0.00014009	5.83E-05	6.01E-05	9.29E-05	0.000191866	0.000137758	0.000146342	8.49E-05	9.98E-05	0.000373813	0.00019319	7.04E-05	7.01E-05	0.000184558	8.23E-05	4.61E-05	1.27E-05	0.000131214	6.59E-05
Salicyluric acid	3.58E-06	2.19E-06	2.88E-06	3.32E-06	1.48E-06	3.87E-06	3.05E-06	3.00E-06	3.52E-06	3.18E-06	2.35E-06	1.56E-06	1.06E-05	4.59E-06	1.27E-05	1.37E-05	2.13E-06	4.15E-06	3.20E-05
3-Aminosalicylic acid	0.001646813	0.001098298	0.002617386	0.002668673	0.002614836	0.001396285	0.001459845	0.001975827	0.002949853	0.002328013	0.001760815	0.001330112	0.001949065	0.002064892	0.001008645	0.002485138	0.001278232	0.001745161	0.001947168
