Tax	FTG3	FTG4	FTG1	FTG7	FTG9	FTG6	FTG2	FTG10	FTG8	FTG5
Lactobacillus	16018	9309	3032	14539	3815	9508	18607	76	6929	9102
Muribaculaceae	4468	8607	9085	4135	4689	5896	3878	1849	7570	4433
Turicibacter	386	11	1298	361	1871	981	843	0	972	1208
Alistipes	373	842	817	275	261	177	110	1201	553	204
Rikenellaceae_RC9_gut_group	232	760	165	251	146	466	43	108	772	86
Odoribacter	8	20	678	24	36	51	142	613	80	37
Muribaculaceae_uncultured	43	141	192	59	114	24	24	394	198	103
Mucispirillum	34	54	18	42	170	20	17	889	28	13
Faecalibaculum	217	6	190	39	29	133	179	5	31	217
Dubosiella	5	0	0	365	157	47	5	0	112	43
Muribaculum	45	57	141	28	36	73	39	27	159	55
Lachnospiraceae_NK4A136_group	15	41	168	10	43	7	11	166	32	36
Erysipelatoclostridium	22	125	19	30	15	63	31	0	131	25
Akkermansia	18	11	5	49	90	167	6	0	57	39
Unclassified	26	49	46	43	36	42	35	75	24	40
Escherichia-Shigella	42	30	34	10	24	44	37	29	18	46
Bifidobacterium	0	2	6	17	54	13	0	0	37	6
RF39	8	7	12	11	18	4	0	31	6	8
Desulfovibrio	13	10	26	5	8	0	6	0	15	4
Enterococcus	2	4	0	0	21	4	0	40	6	3
Arsenophonus	5	6	8	4	6	6	5	4	8	7
Pantoea	0	3	0	10	0	13	0	12	14	4
Bacillus	0	0	0	36	0	0	0	0	17	0
Aquabacterium	4	10	0	2	3	0	2	0	0	19
Polaribacter	9	0	2	0	0	14	0	0	0	15
Corynebacterium	0	20	0	0	0	7	0	0	0	7
Coriobacteriaceae_UCG-002	11	0	8	0	0	0	10	0	0	0
Anaeroplasma	2	0	2	0	2	0	3	9	8	0
Clostridium_sensu_stricto_1	0	0	0	6	7	0	0	0	5	0
Klebsiella	0	14	0	0	0	0	0	0	2	0
Peptococcus	0	0	6	0	6	0	0	0	2	0
Colidextribacter	0	2	0	3	3	0	5	0	0	0
Facklamia	0	6	0	0	0	3	0	0	0	4
Bacteroides	6	3	0	0	0	0	0	0	3	0
Stenotrophomonas	0	5	0	0	0	0	0	0	0	7
Streptococcus	3	2	5	0	0	2	0	0	0	0
Acinetobacter	0	2	0	0	2	2	0	5	0	0
Erysipelotrichaceae	6	0	0	0	0	0	0	4	0	0
Jeotgalicoccus	0	5	0	0	0	2	0	0	0	3
Weissella	0	0	0	0	0	0	0	0	10	0
Curtobacterium	0	0	0	0	0	0	0	0	3	6
Clostridia_vadinBB60_group	0	3	5	0	0	0	0	0	0	0
Erysipelatoclostridiaceae	0	0	0	0	7	0	0	0	0	0
Oscillibacter	0	0	0	0	0	0	3	0	2	0
Clostridia_UCG-014	0	0	0	0	0	0	0	2	2	0
Parasutterella	4	0	0	0	0	0	0	0	0	0
