Tax	FWT4	FWT5	FWT7	FWT9	FWT8	FWT10	FWT6	FWT3	FWT2	FWT1
Muribaculaceae	7579	9415	10155	7857	8522	2272	5827	6550	8077	6872
Lactobacillus	1336	6656	6930	4545	8125	2626	7091	13067	4236	6808
Alistipes	1782	2450	799	927	252	1693	3553	1154	391	1342
Odoribacter	1515	1957	494	417	101	1760	715	248	50	44
Rikenellaceae_RC9_gut_group	233	662	155	376	276	184	321	741	117	1217
Muribaculaceae_uncultured	505	129	131	106	12	215	308	260	326	68
Mucispirillum	183	126	17	491	14	305	192	130	189	11
Lachnospiraceae_NK4A136_group	96	195	106	147	13	195	61	521	85	2
Unclassified	103	130	144	94	9	180	181	235	59	77
Faecalibaculum	0	5	0	2	0	0	0	0	610	185
Desulfovibrio	9	54	59	405	20	3	0	0	22	0
Muribaculum	51	91	62	144	96	10	6	0	56	35
Turicibacter	3	198	0	0	0	0	272	0	2	6
RF39	164	89	14	30	27	0	13	6	14	36
Enterobacter	81	72	0	0	0	0	52	45	51	47
Escherichia-Shigella	23	57	45	38	40	30	53	0	6	14
Anaeroplasma	53	140	0	0	0	0	14	0	12	0
Erysipelatoclostridium	2	4	26	11	4	16	0	6	6	36
Bifidobacterium	0	0	9	3	0	0	14	15	48	9
Arsenophonus	12	8	5	9	4	8	8	6	8	7
Clostridia_UCG-014	32	8	0	2	0	0	0	4	2	20
Erysipelotrichaceae	23	9	8	0	3	0	15	4	0	0
Eubacterium_xylanophilum_group	0	0	0	41	0	0	0	0	0	15
Peptococcus	18	13	4	0	0	8	4	3	6	0
Curtobacterium	0	0	2	0	0	0	0	14	14	18
Erysipelatoclostridiaceae	0	0	0	0	0	2	0	38	2	4
Oscillibacter	5	0	9	0	0	10	7	9	2	2
Akkermansia	0	0	0	11	4	2	0	0	10	8
Polaribacter	0	11	3	0	19	0	0	0	0	0
Streptococcus	7	8	4	0	0	0	2	0	2	8
Methylophilaceae_MM2	12	0	0	0	0	0	0	0	13	0
Dubosiella	0	0	0	0	0	0	0	0	18	6
Colidextribacter	5	7	0	0	0	2	2	5	2	0
Enterococcus	2	16	4	0	0	0	0	0	0	0
Coriobacteriaceae_UCG-002	0	0	0	0	0	0	0	0	17	4
Pseudoalteromonas	0	0	0	9	0	8	0	0	0	0
Staphylococcus	2	0	0	0	0	0	5	6	0	4
Jeotgalicoccus	0	7	0	0	0	0	6	0	3	0
Lachnospiraceae_ASF356	0	0	7	0	0	2	0	5	0	0
Aquabacterium	2	0	4	2	0	0	2	0	3	0
Pantoea	0	0	0	4	0	0	0	0	0	8
Clostridia_vadinBB60_group	0	11	0	0	0	0	0	0	0	0
Bacillus	0	0	0	0	0	0	6	0	0	0
Parasutterella	0	0	0	0	0	0	0	6	0	0
Weissella	0	0	0	0	0	0	0	0	0	2
